DATA:           	LANG:   	MIN_C:  	MAX_F:  	   NIST:	   BLUE:	NAME:
presemt-dev     	no-de   	     250	0.500000	  4.3273	  0.0825	centroid_presemt-dev_no-de_min_count=250_max_freq=0.500000
presemt-dev     	no-de   	     250	1.000000	  4.3273	  0.0825	centroid_presemt-dev_no-de_min_count=250_max_freq=1.000000
presemt-dev     	no-de   	    1000	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.000100
presemt-dev     	no-de   	    1000	0.001000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.001000
presemt-dev     	no-de   	    1000	0.005000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.005000
presemt-dev     	no-de   	    1000	0.010000	  4.5670	  0.0927	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.010000
presemt-dev     	no-de   	    1000	0.050000	  4.3751	  0.0879	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.050000
presemt-dev     	no-de   	    1000	0.100000	  4.3145	  0.0882	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.100000
presemt-dev     	no-de   	    1000	0.250000	  4.3184	  0.0863	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.250000
presemt-dev     	no-de   	    1000	0.500000	  4.3243	  0.0864	centroid_presemt-dev_no-de_min_count=1000_max_freq=0.500000
presemt-dev     	no-de   	    1000	1.000000	  4.3243	  0.0864	centroid_presemt-dev_no-de_min_count=1000_max_freq=1.000000
presemt-dev     	no-de   	    2500	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.000100
presemt-dev     	no-de   	    2500	0.001000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.001000
presemt-dev     	no-de   	    2500	0.005000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.005000
presemt-dev     	no-de   	    2500	0.010000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.010000
presemt-dev     	no-de   	    2500	0.050000	  4.5647	  0.0922	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.050000
presemt-dev     	no-de   	    2500	0.100000	  4.4631	  0.0888	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.100000
presemt-dev     	no-de   	    2500	0.250000	  4.4253	  0.0887	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.250000
presemt-dev     	no-de   	    2500	0.500000	  4.4253	  0.0887	centroid_presemt-dev_no-de_min_count=2500_max_freq=0.500000
presemt-dev     	no-de   	    2500	1.000000	  4.4253	  0.0887	centroid_presemt-dev_no-de_min_count=2500_max_freq=1.000000
presemt-dev     	no-de   	    5000	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.000100
presemt-dev     	no-de   	    5000	0.001000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.001000
presemt-dev     	no-de   	    5000	0.005000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.005000
presemt-dev     	no-de   	    5000	0.010000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.010000
presemt-dev     	no-de   	    5000	0.050000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.050000
presemt-dev     	no-de   	    5000	0.100000	  4.5677	  0.0923	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.100000
presemt-dev     	no-de   	    5000	0.250000	  4.5394	  0.0919	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.250000
presemt-dev     	no-de   	    5000	0.500000	  4.5394	  0.0919	centroid_presemt-dev_no-de_min_count=5000_max_freq=0.500000
presemt-dev     	no-de   	    5000	1.000000	  4.5394	  0.0919	centroid_presemt-dev_no-de_min_count=5000_max_freq=1.000000
